p1_score	p2_score
0	0
0	1
1	1
1	2
2	2
3	2
3	3
4	3
4	4
5	4
0	0
0	1
1	1
2	1
2	2
2	3
3	3
3	4
0	0
1	0
2	0
2	1
3	1
0	0
0	1
0	2
0	3
0	0
1	0
2	0
3	0
3	1
3	2
3	3
4	3
0	0
0	1
1	1
1	2
1	3
0	0
1	0
2	0
3	0
3	1
0	0
0	1
1	1
1	2
2	2
3	2
0	0
1	0
1	1
2	1
2	2
3	2
3	3
4	3
4	4
4	5
3	3
4	3
0	0
0	1
0	2
0	3
0	0
1	0
2	0
2	1
2	2
3	2
3	3
3	4
0	0
0	1
0	2
0	3
0	0
0	1
1	1
2	1
2	2
2	3
3	3
4	3
0	0
0	1
0	2
1	2
2	2
3	2
3	3
4	3
4	4
4	5
0	0
0	1
1	1
1	2
2	2
3	2
3	3
4	3
0	0
1	0
1	1
1	2
1	3
2	3
3	3
4	3
4	4
4	5
3	3
4	3
0	0
1	0
2	0
3	0
0	0
1	0
1	1
1	2
1	3
0	0
1	0
1	1
2	1
3	1
3	2
0	0
0	1
0	2
1	2
1	3
0	0
1	0
2	0
3	0
0	0
0	1
1	1
2	1
2	2
2	3
3	3
4	3
4	4
4	5
5	5
6	5
6	6
6	7
0	0
1	0
1	1
2	1
2	2
3	2
0	0
1	0
1	1
1	2
2	2
3	2
3	3
4	3
4	4
4	5
5	5
5	6
0	0
1	0
2	0
2	1
2	2
3	2
0	0
1	0
2	0
2	1
3	1
0	0
1	0
2	0
3	0
3	1
0	0
1	0
1	1
1	2
2	2
2	3
0	0
1	0
2	0
3	0
0	0
0	1
1	1
1	2
2	2
3	2
3	3
3	4
0	0
1	0
2	0
3	0
3	1
0	0
1	0
1	1
1	2
1	3
0	0
1	0
1	1
1	2
2	2
2	3
0	0
0	1
1	1
1	2
1	3
2	3
3	3
4	3
4	4
4	5
5	5
5	6
6	6
7	6
7	7
7	8
8	8
8	9
0	0
1	0
1	1
1	2
1	3
2	3
3	3
4	3
0	0
0	1
1	1
1	2
1	3
2	3
3	3
3	4
0	0
0	1
1	1
2	1
3	1
0	0
1	0
2	0
2	1
3	1
3	2
0	0
1	0
2	0
2	1
3	1
0	0
0	1
1	1
1	2
1	3
0	0
1	0
2	0
2	1
3	1
3	2
3	3
4	3
0	0
0	1
1	1
1	2
2	2
3	2
0	0
0	1
1	1
2	1
2	2
2	3
3	3
4	3
0	0
1	0
1	1
1	2
2	2
3	2
3	3
3	4
4	4
4	5
5	5
5	6
0	0
1	0
2	0
3	0
0	0
0	1
1	1
1	2
1	3
0	0
1	0
2	0
2	1
3	1
0	0
0	1
0	2
1	2
1	3
0	0
1	0
1	1
2	1
3	1
0	0
0	1
0	2
0	3
0	0
0	1
1	1
1	2
1	3
0	0
1	0
1	1
2	1
2	2
2	3
0	0
1	0
2	0
3	0
0	0
0	1
0	2
1	2
1	3
0	0
1	0
2	0
3	0
0	0
0	1
0	2
0	3
0	0
1	0
2	0
3	0
0	0
1	0
1	1
1	2
1	3
0	0
1	0
2	0
3	0
0	0
0	1
1	1
1	2
1	3
2	3
0	0
1	0
1	1
2	1
2	2
3	2
0	0
0	1
0	2
1	2
1	3
0	0
1	0
2	0
3	0
0	0
0	1
1	1
1	2
1	3
0	0
1	0
1	1
1	2
1	3
2	3
2	4
2	5
3	5
4	5
4	6
0	0
0	1
0	2
0	3
1	3
2	3
0	0
0	1
1	1
2	1
3	1
0	0
1	0
2	0
2	1
2	2
2	3
0	0
1	0
1	1
2	1
3	1
0	0
0	1
0	2
1	2
1	3
0	0
1	0
2	0
3	0
0	0
1	0
1	1
1	2
1	3
2	3
3	3
3	4
0	0
0	1
0	2
0	3
1	3
2	3
3	3
3	4
4	4
5	4
0	0
1	0
1	1
1	2
1	3
2	3
3	3
3	4
0	0
1	0
2	0
3	0
0	0
0	1
0	2
1	2
1	3
0	0
1	0
2	0
2	1
3	1
0	0
1	0
1	1
1	2
2	2
2	3
3	3
3	4
3	5
3	6
4	6
5	6
0	0
1	0
1	1
1	2
1	3
0	0
1	0
2	0
3	0
0	0
0	1
0	2
1	2
2	2
2	3
3	3
3	4
0	0
1	0
2	0
3	0
3	1
0	0
0	1
0	2
0	3
0	0
0	1
1	1
1	2
1	3
2	3
3	3
4	3
4	4
5	4
5	5
5	6
0	0
1	0
1	1
1	2
1	3
0	0
0	1
1	1
